species	feature_gadolinium_contrast	P.val_individual_gadolinium_contrast	coef_gadolinium_contrast	model_gadolinium_contrast	feature_lesion_burden	P.val_individual_lesion_burden	coef_lesion_burden	model_lesion_burden	feature_spinal_cord_lesion	P.val_individual_spinal_cord_lesion	coef_spinal_cord_lesion	model_spinal_cord_lesion	feature_subtentorial_lesions	P.val_individual_subtentorial_lesions	coef_subtentorial_lesions	model_subtentorial_lesions
Acidaminococcus_intestini_abundance	Acidaminococcus_intestini	0.213769583182505	2.19051532818699	abundance	Acidaminococcus_intestini	0.497884343707272	1.2517860109483	abundance	Acidaminococcus_intestini	0.59671602611152	-1.04330653651551	abundance	Acidaminococcus_intestini	0.361457123168544	-1.75451841176322	abundance
Acidaminococcus_intestini_prevalence	Acidaminococcus_intestini	0.542954616516328	0.54524486895041	prevalence	Acidaminococcus_intestini	0.370708306660201	-0.735181496055321	prevalence	Acidaminococcus_intestini	0.176257282838693	-1.05463525706112	prevalence	Acidaminococcus_intestini	0.629035369100461	0.364403402894911	prevalence
Adlercreutzia_equolifaciens_abundance	Adlercreutzia_equolifaciens	0.924355664942547	-0.412875171931671	abundance	Adlercreutzia_equolifaciens	0.218619250415945	-1.38095360066338	abundance	Adlercreutzia_equolifaciens	0.950520104671397	-0.0520348490715654	abundance	Adlercreutzia_equolifaciens	0.0581038247327523	-2.02173747213233	abundance
Adlercreutzia_equolifaciens_prevalence	Adlercreutzia_equolifaciens	0.736878122576279	0.370946670741747	prevalence	Adlercreutzia_equolifaciens	0.157521148063803	1.50137134153988	prevalence	Adlercreutzia_equolifaciens	0.30074713386313	0.967301940869812	prevalence	Adlercreutzia_equolifaciens	0.881979357362299	-0.133375610095843	prevalence
Adlercreutzia_hattorii_abundance	Adlercreutzia_hattorii	0.702987638197202	-0.774239839814058	abundance	Adlercreutzia_hattorii	0.582237871353624	-0.679217946668993	abundance	Adlercreutzia_hattorii	0.0968886474630355	-1.87456115864998	abundance	Adlercreutzia_hattorii	0.0671336968810105	-2.1610460155468	abundance
Adlercreutzia_hattorii_prevalence	Adlercreutzia_hattorii	0.954102812124798	0.0620030458038912	prevalence	Adlercreutzia_hattorii	0.276384331729868	1.1107008864752	prevalence	Adlercreutzia_hattorii	0.0822628290301763	2.0159279231092	prevalence	Adlercreutzia_hattorii	0.79846645269799	-0.229710860281044	prevalence
Agathobacter_rectalis_abundance	Agathobacter_rectalis	0.466270787586784	-1.00187468718453	abundance	Agathobacter_rectalis	0.635386174459802	-0.465894731571184	abundance	Agathobacter_rectalis	0.390582284840498	0.585164675269529	abundance	Agathobacter_rectalis	0.127037489228322	-1.3826364953112	abundance
Agathobacter_rectalis_prevalence	Agathobacter_rectalis	NA	NA	prevalence	Agathobacter_rectalis	NA	NA	prevalence	Agathobacter_rectalis	NA	NA	prevalence	Agathobacter_rectalis	NA	NA	prevalence
Agathobaculum_massiliense_abundance	Agathobaculum_massiliense	0.657654903379089	-0.0179892993760648	abundance	Agathobaculum_massiliense	0.524207619745284	-0.418459320969658	abundance	Agathobaculum_massiliense	0.638315454436759	0.150357538100306	abundance	Agathobaculum_massiliense	0.483734410128956	0.301463018136435	abundance
Agathobaculum_massiliense_prevalence	Agathobaculum_massiliense	0.268003296415265	1.08752858850174	prevalence	Agathobaculum_massiliense	0.46899972893238	-0.556886401956563	prevalence	Agathobaculum_massiliense	0.900861846400201	-0.0888450264182353	prevalence	Agathobaculum_massiliense	0.96490612689612	0.0315911915002721	prevalence
